tickers,sentiment,sentiment_score,confidence,upvotes,created_at
"TSLA,SPY,RDDT",sell,-0.9547,95.47,65,2025-03-17 15:57:32
"QBTS,QUBT",buy,0.8798,87.98,23,2025-03-17 15:34:25
"AI,API",buy,0.296,29.599999999999998,94,2025-03-17 15:30:40
RDDT,buy,0.9254,92.54,27,2025-03-17 15:21:03
"OP,KORU",buy,0.9618,96.17999999999999,150,2025-03-17 15:02:58
LMT,buy,0.906,90.60000000000001,121,2025-03-17 14:48:37
"OSCR,PORT,K",buy,0.8478,84.78,81,2025-03-17 11:47:51
OP,neutral,0.0644,6.4399999999999995,2873,2025-03-17 11:16:22
AAPL,buy,0.9245,92.45,46,2025-03-17 11:14:06
F,sell,-0.703,70.3,1292,2025-03-17 08:59:03
"AS,BE",sell,-0.6351,63.51,222,2025-03-17 05:57:31
HIMS,sell,-0.4836,48.36,228,2025-03-17 02:49:11
BTC,buy,0.6818,68.17999999999999,3625,2025-03-17 02:12:47
KONG,sell,-0.7906,79.06,3861,2025-03-17 00:36:50
"LMT,BOOM",sell,-0.9917,99.17,394,2025-03-16 22:21:36
J,neutral,-0.08,8.0,891,2025-03-16 17:14:18
AI,sell,-0.4453,44.529999999999994,772,2025-03-16 13:36:53
RBRK,buy,0.7777,77.77,117,2025-03-16 12:41:26
META,buy,0.7506,75.06,176,2025-03-16 11:01:13
"AAPL,THS,XLP,CVNA,E,SPY,X,WMT,COST,TLT,GLD,TSLA,XLY",buy,0.3527,35.27,54,2025-03-15 19:16:20
"OP,LUNR,ASTS,U",sell,-0.5075,50.74999999999999,18,2025-03-15 17:37:34
"TT,IG",buy,0.8782,87.82,4764,2025-03-15 15:31:37
"EUAD,EU,NATO",buy,0.8545,85.45,408,2025-03-15 15:02:03
TSLA,buy,0.8821,88.21,337,2025-03-15 10:44:31
"S,UK,EU",buy,0.6219,62.19,254,2025-03-15 10:15:37
TSLA,buy,0.9731,97.31,259,2025-03-15 09:57:25
"EV,MG,BYD",buy,0.9186,91.86,1796,2025-03-15 03:04:27
GLP,sell,-0.8735,87.35000000000001,271,2025-03-15 00:59:06
TSLQ,buy,0.9074,90.74,305,2025-03-14 22:18:12
T,sell,-0.6486,64.86,0,2025-03-14 18:40:15
"SPY,C",buy,0.9342,93.42,186,2025-03-14 18:33:52
EDIT,buy,0.6398,63.980000000000004,23800,2025-03-14 18:08:28
"OP,SPY",sell,-0.6199,61.99,2918,2025-03-14 18:07:42
OP,buy,0.9382,93.82000000000001,4496,2025-03-14 17:29:38
"OP,AAOI",buy,0.9754,97.54,49,2025-03-14 17:05:06
"LUNR,D",buy,0.9857,98.57000000000001,134,2025-03-14 16:39:41
"OP,PLTR",buy,0.5149,51.49,115,2025-03-14 16:15:35
"OP,TSLA",buy,0.2023,20.23,364,2025-03-14 16:12:54
SPY,buy,0.6598,65.98,206,2025-03-14 15:57:35
SPY,buy,0.8324,83.24000000000001,2039,2025-03-14 15:53:59
"GO,DTE",buy,0.8645,86.45,108,2025-03-14 15:02:57
"OP,E",sell,-0.9598,95.98,49,2025-03-14 14:56:06
"LEO,GEO,ASTS,UK,X,EU,SESG",buy,0.993,99.3,154,2025-03-14 12:48:36
"MU,XPEV,OLLI,ZTO,FDX,LE,WSM,OR,NKE,GIS,SCVL,BEKE,HUYA,FIVE,SIG,ASO,DRI,LEN,SAIC,PDD,STNE,FDS,JBL,CCL,ACN",sell,-0.7506,75.06,129,2025-03-14 11:03:51
QBTS,buy,0.9667,96.67,68,2025-03-14 10:43:57
ITM,buy,0.8286,82.86,170,2025-03-14 10:35:38
"EUAD,K,RHM,DAX",buy,0.9118,91.18,4827,2025-03-14 09:02:32
"EUAD,PUMP,RNMBY,DAT,EU,RYCEY",buy,0.3129,31.290000000000003,423,2025-03-14 07:45:27
"S,SPY,U,F",sell,-0.9911,99.11,238,2025-03-14 05:57:32
"AI,MSTR,ARE,DLTR,TSLA,DG",sell,-0.755,75.5,3639,2025-03-13 19:49:15
"TWLO,K",buy,0.2523,25.230000000000004,476,2025-03-13 17:03:23
ADBE,buy,0.9806,98.06,65,2025-03-13 15:55:47
"SBUX,WMT,HD",buy,0.6298,62.980000000000004,470,2025-03-13 15:46:48
GOOGL,buy,0.8712,87.12,73,2025-03-13 15:28:08
AAL,buy,0.9451,94.51,48,2025-03-13 15:26:55
"K,PATH",buy,0.9646,96.46000000000001,21,2025-03-13 14:43:09
DRI,buy,0.6652,66.52,46,2025-03-13 12:36:46
"DTE,QQQ",buy,0.9473,94.73,311,2025-03-13 11:37:49
K,buy,0.9437,94.37,184,2025-03-13 10:51:46
"DTE,R",buy,0.7224,72.24000000000001,618,2025-03-13 10:45:21
"OI,INTC",buy,0.6523,65.23,1611,2025-03-13 10:07:56
AI,buy,0.7906,79.06,203,2025-03-13 09:21:10
PPI,neutral,-0.0516,5.16,440,2025-03-13 08:48:28
PPI,buy,0.8294,82.94,210,2025-03-13 08:31:30
"SMCI,K",neutral,-0.126,12.6,79,2025-03-13 07:47:45
J,sell,-0.6144,61.44,132,2025-03-13 07:38:10
"AI,S,TSLA,U",sell,-0.4088,40.88,277,2025-03-13 05:57:33
IBKR,buy,0.8538,85.38,46,2025-03-13 05:36:51
AMD,sell,-0.5192,51.92,3250,2025-03-13 02:31:51
CPI,sell,-0.952,95.19999999999999,92,2025-03-13 02:29:50
Z,buy,0.9205,92.05,6348,2025-03-13 01:56:00
SQQQ,neutral,0.168,16.8,43,2025-03-13 01:45:10
"TSLA,K",buy,0.8714,87.14,375,2025-03-13 00:13:31
"NVMI,NVDA,ATOM",buy,0.4363,43.63,26,2025-03-12 23:14:43
"M,L",buy,0.9158,91.58,638,2025-03-12 22:20:50
AI,buy,0.9563,95.63000000000001,206,2025-03-12 19:51:13
"TQQQ,SPY,QQQ",buy,0.6966,69.66,28,2025-03-12 19:46:42
CORZ,buy,0.8716,87.16000000000001,10,2025-03-12 17:24:46
"AI,FOR",sell,-0.616,61.6,65,2025-03-12 17:01:06
